velocity,timing,articulation,id
0.0,0.0,0.0,P00_n2
0.0,0.0,0.0,P00_n1
0.0,0.0,0.0,P00_n3
0.0,0.0,0.0,P00_n4
0.0,0.0,0.0,P00_n5
0.0,0.0,0.0,P00_n6
0.0,0.0,0.0,P00_n7
0.0,0.0,0.0,P00_n8
0.0,0.0,0.0,P00_n9
0.0,0.0,0.0,P00_n11
0.0,0.0,0.0,P00_n10
0.0,0.0,0.0,P00_n12
0.0,0.0,0.0,P00_n13
0.0,0.0,0.0,P00_n14
0.0,0.0,0.0,P00_n15
0.0,0.0,0.0,P00_n16
0.0,0.0,0.0,P00_n17
0.0,0.0,0.0,P00_n18
0.0,0.0,0.0,P00_n26
0.0,0.0,0.0,P00_n20
0.0,0.0,0.0,P00_n21
0.0,0.0,0.0,P00_n27
0.0,0.0,0.0,P00_n22
0.0,0.0,0.0,P00_n23
0.0,0.0,0.0,P00_n28
0.0,0.0,0.0,P00_n24
0.0,0.0,0.0,P00_n29
0.0,0.0,0.0,P00_n30
0.0,0.0,0.0,P00_n25
0.0,0.0,0.0,P00_n31
0.0,0.0,0.0,P00_n32
0.0,0.0,0.0,P00_n33
0.0,0.0,0.0,P00_n35
0.0,0.0,0.0,P00_n34
0.0,0.0,0.0,P00_n36
0.0,0.0,0.0,P00_n37
0.0,0.0,0.0,P00_n38
0.0,0.0,0.0,P00_n39
0.0,0.0,0.0,P00_n40
0.0,0.0,0.0,P00_n41
0.0,0.0,0.0,P00_n42
0.0,0.0,0.0,P00_n50
0.0,0.0,0.0,P00_n44
0.0,0.0,0.0,P00_n45
0.0,0.0,0.0,P00_n51
0.0,0.0,0.0,P00_n46
0.0,0.0,0.0,P00_n47
0.0,0.0,0.0,P00_n52
0.0,0.0,0.0,P00_n48
0.0,0.0,0.0,P00_n53
0.0,0.0,0.0,P00_n54
0.0,0.0,0.0,P00_n49
0.0,0.0,0.0,P00_n55
0.0,0.0,0.0,P00_n56
0.0,0.0,0.0,P00_n57
0.0,0.0,0.0,P00_n59
0.0,0.0,0.0,P00_n58
0.0,0.0,0.0,P00_n60
0.0,0.0,0.0,P00_n61
0.0,0.0,0.0,P00_n62
0.0,0.0,0.0,P00_n63
0.0,0.0,0.0,P00_n64
0.0,0.0,0.0,P00_n65
0.0,0.0,0.0,P00_n66
0.0,0.0,0.0,P00_n79
0.0,0.0,0.0,P00_n68
0.0,0.0,0.0,P00_n69
0.0,0.0,0.0,P00_n80
0.0,0.0,0.0,P00_n70
0.0,0.0,0.0,P00_n71
0.0,0.0,0.0,P00_n81
0.0,0.0,0.0,P00_n72
0.0,0.0,0.0,P00_n82
0.0,0.0,0.0,P00_n83
