velocity,timing,articulation,id
0.0,0.0,0.0,P00_n4
0.0,0.0,0.0,P00_n5
0.0,0.0,0.0,P00_n6
0.0,0.0,0.0,P00_n7
0.0,0.0,0.0,P00_n8
0.0,0.0,0.0,P00_n9
0.0,0.0,0.0,P00_n10
0.0,0.0,0.0,P00_n11
0.0,0.0,0.0,P00_n15
0.0,0.0,0.0,P00_n16
0.0,0.0,0.0,P00_n17
0.0,0.0,0.0,P00_n18
0.0,0.0,0.0,P00_n19
0.0,0.0,0.0,P00_n20
0.0,0.0,0.0,P00_n24
0.0,0.0,0.0,P00_n25
0.0,0.0,0.0,P00_n26
0.0,0.0,0.0,P00_n27
0.0,0.0,0.0,P00_n28
0.0,0.0,0.0,P00_n29
0.0,0.0,0.0,P00_n30
0.0,0.0,0.0,P00_n31
0.0,0.0,0.0,P00_n32
0.0,0.0,0.0,P00_n33
0.0,0.0,0.0,P00_n34
0.0,0.0,0.0,P00_n38
0.0,0.0,0.0,P00_n39
0.0,0.0,0.0,P00_n40
0.0,0.0,0.0,P00_n41
0.0,0.0,0.0,P00_n42
0.0,0.0,0.0,P00_n43
0.0,0.0,0.0,P00_n44
0.0,0.0,0.0,P00_n45
0.0,0.0,0.0,P00_n58
0.0,0.0,0.0,P00_n59
0.0,0.0,0.0,P00_n60
0.0,0.0,0.0,P00_n48
0.0,0.0,0.0,P00_n49
0.0,0.0,0.0,P00_n50
0.0,0.0,0.0,P00_n61
0.0,0.0,0.0,P00_n62
0.0,0.0,0.0,P00_n63
0.0,0.0,0.0,P00_n51
0.0,0.0,0.0,P00_n52
0.0,0.0,0.0,P00_n53
0.0,0.0,0.0,P00_n64
0.0,0.0,0.0,P00_n54
0.0,0.0,0.0,P00_n65
0.0,0.0,0.0,P00_n66
0.0,0.0,0.0,P00_n67
0.0,0.0,0.0,P00_n55
0.0,0.0,0.0,P00_n56
0.0,0.0,0.0,P00_n57
0.0,0.0,0.0,P00_n80
0.0,0.0,0.0,P00_n70
0.0,0.0,0.0,P00_n81
0.0,0.0,0.0,P00_n82
0.0,0.0,0.0,P00_n88
0.0,0.0,0.0,P00_n71
0.0,0.0,0.0,P00_n72
0.0,0.0,0.0,P00_n73
0.0,0.0,0.0,P00_n89
0.0,0.0,0.0,P00_n74
0.0,0.0,0.0,P00_n75
0.0,0.0,0.0,P00_n76
0.0,0.0,0.0,P00_n83
0.0,0.0,0.0,P00_n84
0.0,0.0,0.0,P00_n90
0.0,0.0,0.0,P00_n77
0.0,0.0,0.0,P00_n78
0.0,0.0,0.0,P00_n79
0.0,0.0,0.0,P00_n85
0.0,0.0,0.0,P00_n86
0.0,0.0,0.0,P00_n103
0.0,0.0,0.0,P00_n104
0.0,0.0,0.0,P00_n105
0.0,0.0,0.0,P00_n93
0.0,0.0,0.0,P00_n94
0.0,0.0,0.0,P00_n95
0.0,0.0,0.0,P00_n106
0.0,0.0,0.0,P00_n107
0.0,0.0,0.0,P00_n108
0.0,0.0,0.0,P00_n96
0.0,0.0,0.0,P00_n97
0.0,0.0,0.0,P00_n98
0.0,0.0,0.0,P00_n109
0.0,0.0,0.0,P00_n99
0.0,0.0,0.0,P00_n110
0.0,0.0,0.0,P00_n111
0.0,0.0,0.0,P00_n112
0.0,0.0,0.0,P00_n100
0.0,0.0,0.0,P00_n101
0.0,0.0,0.0,P00_n102
0.0,0.0,0.0,P00_n125
0.0,0.0,0.0,P00_n115
0.0,0.0,0.0,P00_n126
0.0,0.0,0.0,P00_n127
0.0,0.0,0.0,P00_n133
0.0,0.0,0.0,P00_n116
0.0,0.0,0.0,P00_n117
0.0,0.0,0.0,P00_n118
0.0,0.0,0.0,P00_n134
0.0,0.0,0.0,P00_n119
0.0,0.0,0.0,P00_n120
0.0,0.0,0.0,P00_n121
0.0,0.0,0.0,P00_n128
0.0,0.0,0.0,P00_n129
0.0,0.0,0.0,P00_n135
0.0,0.0,0.0,P00_n122
0.0,0.0,0.0,P00_n123
0.0,0.0,0.0,P00_n124
0.0,0.0,0.0,P00_n130
0.0,0.0,0.0,P00_n131
0.0,0.0,0.0,P00_n158
0.0,0.0,0.0,P00_n159
0.0,0.0,0.0,P00_n153
0.0,0.0,0.0,P00_n138
0.0,0.0,0.0,P00_n139
0.0,0.0,0.0,P00_n140
0.0,0.0,0.0,P00_n160
0.0,0.0,0.0,P00_n161
0.0,0.0,0.0,P00_n154
0.0,0.0,0.0,P00_n141
0.0,0.0,0.0,P00_n142
0.0,0.0,0.0,P00_n143
0.0,0.0,0.0,P00_n162
0.0,0.0,0.0,P00_n163
0.0,0.0,0.0,P00_n155
0.0,0.0,0.0,P00_n144
0.0,0.0,0.0,P00_n145
0.0,0.0,0.0,P00_n146
0.0,0.0,0.0,P00_n156
0.0,0.0,0.0,P00_n147
0.0,0.0,0.0,P00_n148
0.0,0.0,0.0,P00_n149
0.0,0.0,0.0,P00_n164
0.0,0.0,0.0,P00_n165
0.0,0.0,0.0,P00_n157
0.0,0.0,0.0,P00_n150
0.0,0.0,0.0,P00_n151
0.0,0.0,0.0,P00_n152
0.0,0.0,0.0,P00_n198
0.0,0.0,0.0,P00_n199
0.0,0.0,0.0,P00_n186
0.0,0.0,0.0,P00_n187
0.0,0.0,0.0,P00_n171
0.0,0.0,0.0,P00_n172
0.0,0.0,0.0,P00_n173
0.0,0.0,0.0,P00_n188
0.0,0.0,0.0,P00_n189
0.0,0.0,0.0,P00_n174
0.0,0.0,0.0,P00_n175
0.0,0.0,0.0,P00_n190
0.0,0.0,0.0,P00_n191
