onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
3.915602,1.504275,59,33,0,0,0,-10.0,-10.0
3.8728669,1.5961554,71,58,0,0,1,-10.0,-10.0
3.9262857,4.334406,62,31,0,0,2,3.918273,0.0
5.3867574,2.8739343,57,33,0,0,3,5.3760734,1.0
3.920944,4.339748,50,25,0,0,4,3.918273,0.0
3.9113286,4.3493633,66,40,0,0,5,-10.0,-10.0
3.9294908,4.3312006,54,28,0,0,6,3.918273,0.0
5.36539,2.8953018,69,46,0,0,7,3.918273,0.0
5.9882536,2.272438,57,32,0,0,8,5.3760734,1.0
5.9829116,2.27778,54,29,0,0,9,5.3760734,1.0
6.006416,2.2542756,66,30,0,0,10,5.3760734,1.0
5.980775,2.2799168,50,28,0,0,11,5.3760734,1.0
6.014963,2.2457287,62,32,0,0,12,5.3760734,1.0
5.9636807,2.2970107,69,47,0,0,13,5.3760734,1.0
6.5918865,1.668805,54,27,0,0,14,5.3760734,1.0
6.5972285,1.6634631,57,29,0,0,15,6.5945573,2.0
6.6282115,1.6324801,66,23,0,0,16,6.5945573,2.0
6.5918865,1.668805,50,27,0,0,17,5.3760734,1.0
6.619664,1.6410272,62,30,0,0,18,6.5945573,2.0
6.575861,1.6848307,69,43,0,0,19,5.3760734,1.0
7.2265024,1.034189,54,23,0,0,20,6.5945573,2.0
7.2371864,1.0235052,66,26,0,0,21,6.5945573,2.0
7.2297077,1.0309839,57,22,0,0,22,6.5945573,2.0
7.2297077,1.0309839,50,17,0,0,23,6.5945573,2.0
7.2457333,1.0149583,62,15,0,0,24,6.5945573,2.0
7.1976566,1.0630352,69,43,0,0,25,6.5945573,2.0
8.083341,5.114321,62,34,0,0,26,8.061974,3.0
8.04488,5.1527824,66,36,0,0,27,6.5945573,2.0
8.0577,5.139962,50,27,0,0,28,6.5945573,2.0
8.066247,5.1314154,54,23,0,0,29,8.061974,3.0
10.772446,2.425216,50,25,0,0,30,9.762296,4.0
10.775651,2.422011,62,37,0,0,31,9.762296,4.0
11.470097,1.7275658,50,25,0,0,32,11.462618,5.0
11.462618,1.7350444,62,42,0,0,33,11.462618,5.0
11.462618,1.7350444,54,31,0,0,34,11.462618,5.0
11.440182,1.7574803,66,49,0,0,35,9.762296,4.0
12.1153965,1.082266,50,37,0,0,36,11.462618,5.0
12.083344,1.1143173,62,59,0,0,37,11.462618,5.0
13.048089,1.6057707,59,27,0,0,38,13.041679,6.0
12.982919,1.6784204,71,58,0,0,39,11.462618,5.0
13.033132,4.4017134,49,28,0,0,40,11.462618,5.0
14.61433,2.8205154,57,33,0,0,41,14.596168,7.0
13.059841,4.3750043,52,28,0,0,42,13.041679,6.0
13.069457,4.365389,55,27,0,0,43,13.041679,6.0
13.041679,4.3931665,64,38,0,0,44,13.041679,6.0
14.578005,2.8568404,69,47,0,0,45,13.041679,6.0
13.013902,4.420944,67,39,0,0,46,11.462618,5.0
15.261766,2.173079,52,36,0,0,47,14.596168,7.0
15.244673,2.190173,55,21,0,0,48,14.596168,7.0
15.260698,2.1741474,57,33,0,0,49,14.596168,7.0
15.280997,2.1538482,64,24,0,0,50,14.596168,7.0
15.244673,2.190173,67,27,0,0,51,14.596168,7.0
15.251082,2.1837628,49,35,0,0,52,14.596168,7.0
15.224374,2.210472,69,43,0,0,53,14.596168,7.0
15.848306,1.58654,57,33,0,0,54,14.596168,7.0
15.853647,1.5811981,52,32,0,0,55,14.596168,7.0
15.863263,1.5715827,55,27,0,0,56,15.853648,8.0
15.815186,1.6196597,69,47,0,0,57,14.596168,7.0
15.853647,1.5811981,67,37,0,0,58,14.596168,7.0
15.826938,1.6079075,49,32,0,0,59,14.596168,7.0
15.862195,1.572651,64,33,0,0,60,15.853648,8.0
