velocity,timing,articulation,id
0.0,0.0,0.0,n1
0.0,0.0,0.0,n6
0.0,0.0,0.0,n2
0.0,0.0,0.0,n7
0.0,0.0,0.0,n3
0.0,0.0,0.0,n8
0.0,0.0,0.0,n4
0.0,0.0,0.0,n9
0.0,0.0,0.0,n10
0.0,0.0,0.0,n16
0.0,0.0,0.0,n12
0.0,0.0,0.0,n18
0.0,0.0,0.0,n13
0.0,0.0,0.0,n19
0.0,0.0,0.0,n14
0.0,0.0,0.0,n20
0.0,0.0,0.0,n21
0.0,0.0,0.0,n25
0.0,0.0,0.0,n31
0.0,0.0,0.0,n35
0.0,0.0,0.0,n36
0.0,0.0,0.0,n39
0.0,0.0,0.0,n40
0.0,0.0,0.0,n41
0.0,0.0,0.0,n43
0.0,0.0,0.0,n44
0.0,0.0,0.0,n45
0.0,0.0,0.0,n46
0.0,0.0,0.0,n47
0.0,0.0,0.0,n57
0.0,0.0,0.0,n58
0.0,0.0,0.0,n59
0.0,0.0,0.0,n67
0.0,0.0,0.0,n68
0.0,0.0,0.0,n69
0.0,0.0,0.0,n70
0.0,0.0,0.0,n71
0.0,0.0,0.0,n60
0.0,0.0,0.0,n61
0.0,0.0,0.0,n62
0.0,0.0,0.0,n72
0.0,0.0,0.0,n73
0.0,0.0,0.0,n74
0.0,0.0,0.0,n75
0.0,0.0,0.0,n76
0.0,0.0,0.0,n63
0.0,0.0,0.0,n64
0.0,0.0,0.0,n65
0.0,0.0,0.0,n77
0.0,0.0,0.0,n78
0.0,0.0,0.0,n79
0.0,0.0,0.0,n80
0.0,0.0,0.0,n81
0.0,0.0,0.0,n82
0.0,0.0,0.0,n83
0.0,0.0,0.0,n84
0.0,0.0,0.0,n90
0.0,0.0,0.0,n91
0.0,0.0,0.0,n92
0.0,0.0,0.0,n93
0.0,0.0,0.0,n86
0.0,0.0,0.0,n95
0.0,0.0,0.0,n87
0.0,0.0,0.0,n96
0.0,0.0,0.0,n88
0.0,0.0,0.0,n97
0.0,0.0,0.0,n98
0.0,0.0,0.0,n104
0.0,0.0,0.0,n100
0.0,0.0,0.0,n106
0.0,0.0,0.0,n101
0.0,0.0,0.0,n107
0.0,0.0,0.0,n102
0.0,0.0,0.0,n108
0.0,0.0,0.0,n109
0.0,0.0,0.0,n113
0.0,0.0,0.0,n119
0.0,0.0,0.0,n123
0.0,0.0,0.0,n124
0.0,0.0,0.0,n127
0.0,0.0,0.0,n128
0.0,0.0,0.0,n129
0.0,0.0,0.0,n131
0.0,0.0,0.0,n132
0.0,0.0,0.0,n133
0.0,0.0,0.0,n141
0.0,0.0,0.0,n142
0.0,0.0,0.0,n143
0.0,0.0,0.0,n151
0.0,0.0,0.0,n152
0.0,0.0,0.0,n153
0.0,0.0,0.0,n154
0.0,0.0,0.0,n144
0.0,0.0,0.0,n145
0.0,0.0,0.0,n146
0.0,0.0,0.0,n155
0.0,0.0,0.0,n156
0.0,0.0,0.0,n157
0.0,0.0,0.0,n158
0.0,0.0,0.0,n147
0.0,0.0,0.0,n148
0.0,0.0,0.0,n149
0.0,0.0,0.0,n159
0.0,0.0,0.0,n160
0.0,0.0,0.0,n161
0.0,0.0,0.0,n162
0.0,0.0,0.0,n163
0.0,0.0,0.0,n164
0.0,0.0,0.0,n165
0.0,0.0,0.0,n169
0.0,0.0,0.0,n170
0.0,0.0,0.0,n171
0.0,0.0,0.0,n174
0.0,0.0,0.0,n175
0.0,0.0,0.0,n178
0.0,0.0,0.0,n179
0.0,0.0,0.0,n180
0.0,0.0,0.0,n182
0.0,0.0,0.0,n183
0.0,0.0,0.0,n186
0.0,0.0,0.0,n187
0.0,0.0,0.0,n188
0.0,0.0,0.0,n192
0.0,0.0,0.0,n193
0.0,0.0,0.0,n202
0.0,0.0,0.0,n203
0.0,0.0,0.0,n213
0.0,0.0,0.0,n219
